loan_amnt,purpose,Zip Code,State,emp_length,label
1000,better job,945xx,TX,< 1 year,0
18000,Non profit help,303xx,GA,2 years,0
3500,Car down payment for fuel efficient car,925xx,CA,2 years,0
5000,Yovanella Debt Consolidation,331xx,FL,8 years,0
22000,Need to pay down high interest cc,852xx,AZ,10+ years,0
6500,Dental Surgery To Fix Spaced Teeth,968xx,HI,< 1 year,0
2500,too pay things off,159xx,PA,2 years,0
5000,pay off ,315xx,GA,< 1 year,0
25000,car credit card home improvement,852xx,AZ,< 1 year,0
22500,Pay off Credit Cards,085xx,NJ,< 1 year,0
10000,Deviated Septum & Debt Consolidation,894xx,NV,5 years,0
10000,House refurbishing,748xx,OK,6 years,0
6000,Over the hump loan!!,078xx,NJ,3 years,0
18000,The Age of Attraction Book Series,337xx,FL,10+ years,0
8000,car refinancing,326xx,FL,10+ years,0
25000,Consolidation,760xx,TX,10+ years,0
25000,Credit Card Payoff,601xx,IL,10+ years,0
13000,Investment Property,320xx,FL,3 years,0
25000,Inventory Purchase,330xx,FL,3 years,0
9000,Get Out of Debt,972xx,OR,1 year,0
17000, ,674xx,KS,< 1 year,0
6500,Getting a front start on my bills.,907xx,CA,1 year,0
5000,bumps along the road,331xx,FL,1 year,0
5000,Consolidate Debt,801xx,CO,2 years,0
1000,owner,390xx,MS,< 1 year,0
20000, ,928xx,CA,< 1 year,0
9000,Durable Medical Equipment Startup,774xx,TX,4 years,0
2500, ,970xx,OR,3 years,0
13500,2003 Tundra Limited TRD 165k payoff,750xx,TX,< 1 year,0
4000,College Student Needs a Car,446xx,OH,< 1 year,0
3200,Engagement Ring,968xx,HI,1 year,0
6000,CVTC,547xx,WI,< 1 year,0
10000,Spectre Consolidation,850xx,AZ,4 years,0
25000,clites family ,335xx,FL,1 year,0
3000,Consolidating debt loan,606xx,IL,2 years,0
7000,skin care business,930xx,CA,< 1 year,0
21000, ,891xx,NV,5 years,0
2000,Infrastructure,211xx,MD,2 years,0
4000,"Windows & doors are drafty, sink leaks",060xx,CT,2 years,0
2500,Bocco Loan,783xx,TX,10+ years,0
20000,student loan,871xx,NM,1 year,0
6000,kaitlyn,339xx,FL,1 year,0
12700,Reasonable rate for credit card balance,303xx,GA,< 1 year,0
20000,The Dental Implant Loan/ consolidation,931xx,CA,8 years,0
20000,student loan,152xx,PA,< 1 year,0
5000,Investing in a future educator,334xx,FL,< 1 year,0
15000,I'm going to college,807xx,CO,< 1 year,0
5000,new care ,981xx,WA,1 year,0
12000,Student in Need I want an education,328xx,FL,< 1 year,0
5000,Family need,785xx,TX,3 years,0
5000,starting new buisness,296xx,SC,4 years,0
10000,private student loan,631xx,MO,< 1 year,0
5000,Car and Medical Debt,652xx,MO,3 years,0
9000,need loan to fix my credit and start new,302xx,GA,2 years,0
10000, ,071xx,NJ,< 1 year,0
7000,Education Dilemma,303xx,GA,< 1 year,0
5000, ,941xx,CA,3 years,0
22000,Debt Consolidation ,778xx,TX,7 years,0
1200,Fix the floor so we can sell,805xx,CO,< 1 year,0
4000,Business Expenses,336xx,FL,10+ years,0
25000,Loan for Dental Equipment upgrade,923xx,CA,< 1 year,0
15000,Boat,765xx,TX,7 years,0
2500,personal,850xx,AZ,4 years,0
15000,Inventory Purchase,330xx,FL,3 years,0
10000,mortgage,852xx,AZ,1 year,0
1500,Education,629xx,IL,< 1 year,0
1000,Jump Start a Great Beginning,760xx,TX,< 1 year,0
3000,BRAND NEW START,935xx,CA,4 years,0
4000,Lafayette Move,761xx,TX,< 1 year,0
3500, ,196xx,PA,< 1 year,0
5000,Law School (Bar Exam),352xx,AL,9 years,0
8000,BACK TAX LOAN,431xx,OH,1 year,0
15000,DEBT CONSOLIDATION LOAN,952xx,CA,10+ years,0
7500,Debt consolodation,594xx,MT,< 1 year,0
3500,Wedding Expenses,939xx,CA,3 years,0
2500,Help with bills,328xx,FL,1 year,0
5000,Purchase a new car,945xx,CA,1 year,0
10000,Debt consalidation,806xx,CO,< 1 year,0
7000,Pay off,727xx,MO,< 1 year,0
21950,Paying YOU instead of the CC Companies,902xx,CA,< 1 year,0
10000,Consolidate,852xx,AZ,2 years,0
5000, ,198xx,DE,10+ years,0
20000, ,191xx,PA,4 years,0
15000, ,339xx,FL,7 years,0
18000,Car Finance,945xx,CA,1 year,0
10000,CAR LOAN,640xx,MO,9 years,0
19200, ,151xx,PA,1 year,0
10000, ,607xx,IL,< 1 year,0
20000, ,331xx,FL,2 years,0
8000,Consolidating High Interest Debt,421xx,KY,2 years,0
8000,In search of reliable transportation.,554xx,MN,1 year,0
25000,Pay off home improvement debts,900xx,CA,< 1 year,0
25000,Credit Card Relief,199xx,DE,9 years,0
9000,Refinancing Dirtbikes,951xx,CA,6 years,0
2000, ,436xx,OH,1 year,0
5000,business,296xx,SC,4 years,0
3500,down payment and moving expanses,553xx,MN,3 years,0
10000,Lower Interest Rate for Loan Needed,207xx,MD,< 1 year,0
9000,Please help me get on my way!,334xx,FL,1 year,0
15000,A Celebration of Life,342xx,FL,< 1 year,0
3700,Consolidate debt,532xx,WI,1 year,0
2500,Paying off Bills,971xx,OR,5 years,0
14000,Loan to continue education,629xx,IL,< 1 year,0
3000,To Marriage and Higher Education!,210xx,MD,9 years,0
5000,A New Start,850xx,AZ,< 1 year,0
6000,diego,333xx,FL,2 years,0
9000, ,926xx,CA,< 1 year,0
2500,student loan for school,331xx,FL,2 years,0
16000, ,531xx,WI,< 1 year,0
25000,debt consolidation,105xx,NY,2 years,0
5000,INVESTMENTS,920xx,CA,10+ years,0
2000,i am looking to pay off my debt in one,110xx,NY,2 years,0
15000,Consolidate high interest cards & loans,774xx,TX,6 years,0
10000,A safe investment,217xx,MD,10+ years,0
2500,Pay off existing debt,330xx,FL,< 1 year,0
25000,New business start up costs,795xx,TX,< 1 year,0
3500,Beginning Wedding Plans,293xx,SC,1 year,0
1000,WVU money for education ,265xx,WV,< 1 year,0
2000,paying off the feds,365xx,AL,< 1 year,0
5000,Searching for Job,601xx,IL,1 year,0
15000,Loan application,231xx,VA,6 years,0
12000,Paying off credit card debt,930xx,CA,10+ years,0
12800,Credit and Unsecured Consolidation,307xx,GA,2 years,0
15000, ,723xx,AR,10+ years,0
5000,supplement,330xx,FL,3 years,0
3000, ,701xx,LA,< 1 year,0
1300,Car Purchase,750xx,TX,3 years,0
25000,george m thorne,017xx,MA,10+ years,0
13000, ,153xx,PA,2 years,0
2000, ,327xx,FL,2 years,0
5500, ,752xx,TX,1 year,0
7000,Please help me pay off my student debt,974xx,OR,7 years,0
10000,Coffeehouse Grand Opening!,328xx,FL,< 1 year,0
20000,COST OF ENTIRE EDUCATION LOAN,658xx,MO,2 years,0
3500,Re-employment Loan,453xx,OH,< 1 year,0
25000,tnance debt relief,303xx,GA,< 1 year,0
2000,My expenses,181xx,PA,10+ years,0
3000, ,857xx,AZ,< 1 year,0
15000,Save my home and consolidate debt...,296xx,SC,1 year,0
15000,Consolidation,939xx,CA,9 years,0
17500, ,063xx,CT,1 year,0
5000, ,191xx,PA,4 years,0
5000,Tax,222xx,VA,< 1 year,0
12000,Paying it all off quickly,554xx,MN,7 years,0
12000,Wipe out Credit Card Debt,620xx,IL,10+ years,0
2500,Get rid of high interest credit card,032xx,NH,8 years,0
1500,student loan,403xx,KY,< 1 year,0
20000,Loan Consolidation,921xx,CA,3 years,0
3000,cc loan ,173xx,PA,1 year,0
6000, ,191xx,PA,< 1 year,0
10000,Business loan/getting engaged/wedding,740xx,OK,1 year,0
25000,Home Loan,451xx,OH,4 years,0
2000,Cleaning up my Credit Cards,057xx,VT,2 years,0
4900,Credit Card Refinance,232xx,VA,4 years,0
20000,Credit Card Crunch,550xx,MN,7 years,0
5000,Assistance with full hip replacement,300xx,GA,< 1 year,0
5000,Recovering from major identity theft,303xx,GA,< 1 year,0
2500,Motorcycle Loan,441xx,OH,1 year,0
10000,Get out of Debt Loan,080xx,NJ,2 years,0
2000,Helping family member through rough time,125xx,NY,< 1 year,0
5000,Merry Christmas,112xx,NY,2 years,0
2000,LaTara's basic necessities,363xx,AL,< 1 year,0
23000,731 completion,200xx,DC,5 years,0
10000,Lower monthly payments,631xx,MO,1 year,0
20000, ,641xx,MO,7 years,0
15000,Working Capital Line of Credit,201xx,VA,2 years,0
7000, ,945xx,CA,< 1 year,0
1500,Desperate Need or I am going to be evict,551xx,MN,6 years,0
5000,equiptment repairs,922xx,CA,5 years,0
25000,Paying of cc's after layoff (and rehire),303xx,GA,1 year,0
15000, ,242xx,VA,6 years,0
20000,School Loan,991xx,WA,< 1 year,0
25000,New Business Loan,490xx,MI,< 1 year,0
10000,Refinance Credit Card,951xx,CA,< 1 year,0
18000,Car & student loan,913xx,CA,3 years,0
9800,Consolidation of debt/school/credit card,945xx,CA,2 years,0
25000,Education,432xx,OH,< 1 year,0
2500,Consoliation of High Rates,396xx,MS,5 years,0
9000, ,722xx,AR,< 1 year,0
4000,Consolidate Credit Cards,724xx,AR,2 years,0
7500,Looking to get a better rate,328xx,FL,1 year,0
5000,james johnson,900xx,CA,6 years,0
2000,Bill Consilidation,452xx,OH,< 1 year,0
25000,Wanting to pay off my debts quickly!,112xx,NY,1 year,0
3000,Consolidation,452xx,OH,5 years,0
8000,A Firm Foothold.,958xx,CA,4 years,0
14000,Seeking financial freedom from debt,440xx,OH,5 years,0
25000,Much Needed Home Addition Project.,967xx,HI,2 years,0
7000,Student Loan,167xx,PA,< 1 year,0
5000,im looking to pay off cc's,110xx,NY,3 years,0
8000,Nursing school,441xx,OH,< 1 year,0
1500,Bridge loan for heating oil,109xx,NY,6 years,0
15000,LaBoda Finance,535xx,WI,8 years,0
25000,Business Expansion Capital Wanted,752xx,TX,1 year,0
4000,Rebuild Credit,422xx,KY,10+ years,0
4500,CHRISTMAS FOR MY FAMILY,935xx,CA,5 years,0
19500,Help us consolidate our debt,940xx,CA,4 years,0
10000,Education Loan,606xx,IL,< 1 year,0
6000,unsecured personal,054xx,VT,1 year,0
1500,home improvement project,483xx,MI,9 years,0
6000, ,973xx,OR,< 1 year,0
25000,Fresh Start,946xx,CA,1 year,0
25000,Investing in Rental Properties,731xx,OK,4 years,0
2500,Personal loan,782xx,TX,< 1 year,0
25000,Dr Greg's Loan,949xx,CA,9 years,0
25000,Funds to Open Second Business Location,986xx,WA,< 1 year,0
4000,personal loan,980xx,WA,6 years,0
1500,Out of control debt,130xx,NY,< 1 year,0
2500,I WANT TO GO BACK TO SCHOOL ,921xx,CA,1 year,0
9000,Refinance auto loan,904xx,CA,10+ years,0
25000,Re-invest and consolidate,303xx,GA,< 1 year,0
20000, ,891xx,NV,< 1 year,0
8000,loan,775xx,TX,< 1 year,0
2000,Online Education Computer Purchase,760xx,TX,5 years,0
3000,student loan,167xx,PA,< 1 year,0
10000,Goodbye Credit Cards,652xx,MO,< 1 year,0
10000,Goodbye Credit Cards,652xx,MO,< 1 year,0
3000,Pay off prosper,217xx,MD,5 years,0
3500,College Expenses ,925xx,CA,4 years,0
4000,Student Loan,212xx,MD,< 1 year,0
7000,Truck loan,655xx,MO,3 years,0
6000,Printmaker and Author Seeks Support,981xx,WA,< 1 year,0
10000,personal,424xx,KY,3 years,0
25000,Working capital and marketing ,210xx,MD,2 years,0
2000,Vacation,920xx,CA,1 year,0
10000,The Berna-Hilliard Wedding,480xx,MI,< 1 year,0
10000,we need help!!!,143xx,NY,< 1 year,0
10000,Student Loan,913xx,CA,< 1 year,0
12500,Home Remodel,337xx,FL,< 1 year,0
2000,RJL1,028xx,RI,< 1 year,0
4000,Please help 19 yrs old!,190xx,PA,1 year,0
5000,I'm almost there...Can you help?,860xx,AZ,4 years,0
10000,In investment in the future of the Johns,443xx,OH,2 years,0
10000,12 family building,138xx,NY,6 years,0
15000,one payment only,313xx,GA,10+ years,0
12000, ,488xx,MI,2 years,0
10000,A little help to get back on our feet,807xx,CO,1 year,0
5000,Pay off bills to fix credit,346xx,FL,1 year,0
3000,New Orleans Community Service,032xx,NH,< 1 year,0
3000,Need to buy a Vespa.,852xx,AZ,< 1 year,0
12000, ,993xx,WA,8 years,0
25000,Debt Consolidation,320xx,FL,2 years,0
3000,Transportation Pilot Car Service startup,729xx,AR,1 year,0
15000,Starting Buisness W/ Established Client,435xx,OH,2 years,0
10000,Business Loan,895xx,NV,2 years,0
18500,Capital to Finish Pre-Sold Product ,342xx,FL,< 1 year,0
8000, ,486xx,MI,1 year,0
20000,Loan help,112xx,NY,1 year,0
5000,Car loan,328xx,FL,2 years,0
7000,Widen 24" stairs in 1890s house,495xx,MI,3 years,0
20000,consolidate,917xx,CA,2 years,0
15000,Win Win,146xx,NY,5 years,0
10000,Very much in need of start-up cash.,335xx,FL,2 years,0
25000,Student Loan,021xx,MA,3 years,0
7000,Consolidate High Cards & Be Debt Free,921xx,CA,< 1 year,0
7000,PAY OFF high rate credit cards,331xx,FL,< 1 year,0
10000,Vehicle loan,856xx,AZ,< 1 year,0
25000,business loan,972xx,OR,10+ years,0
8000,Student Loan,981xx,WA,< 1 year,0
16400,Car Loan Needed,981xx,WA,2 years,0
10000,Starting my life with my first place!,916xx,CA,< 1 year,0
25000,A Family In Need,953xx,CA,< 1 year,0
25000,A Family In Need,953xx,CA,10+ years,0
23000,credit score boost,191xx,PA,3 years,0
10000, ,025xx,MA,< 1 year,0
25000,business loan,100xx,NY,3 years,0
5000,Student Loan,917xx,CA,2 years,0
4000,Help,468xx,IL,< 1 year,0
7000,home remouldling,483xx,MI,10+ years,0
1000,Need Help No creditworthy co signer,486xx,MI,< 1 year,0
10000,Pay off Credit Cards,917xx,CA,< 1 year,0
25000,expansion of business,119xx,NY,3 years,0
1000,Paying off Student Debt,840xx,UT,< 1 year,0
10000,home,917xx,CA,10+ years,0
3000,Clearing up debt,770xx,TX,< 1 year,0
5000, ,190xx,PA,< 1 year,0
25000,Starting A New Business,365xx,AL,< 1 year,0
15000,Quaility Child Development Service,349xx,FL,< 1 year,0
2000,personal,786xx,TX,2 years,0
3500,College Expenses,937xx,CA,< 1 year,0
9500,Auto Loan,333xx,FL,< 1 year,0
5000,"Consolidation of debt into one payment at a lower rate than current cards.   We're at the point where we're working to eliminate our debt, but progress seems slow when it's spread across multiple cards combined with various high interest rates. Paying a single lender over a short term would make reducing our debt to zero much easier.   After receiving this loan, the plan is to pay off all the cards and close them permanently. ",759xx,TX,< 1 year,0
2500,Orthodontics,791xx,TX,10+ years,0
15000,School Loan,495xx,MI,< 1 year,0
10000,CREDIT CARD PAYOFF LOAN,229xx,VA,9 years,0
9000,to pay off credit cards,212xx,MD,10+ years,0
20000, ,072xx,NJ,8 years,0
18000,Clark Mobile Restorations,306xx,GA,5 years,0
25000,Diet-to-Go Business Loan,221xx,VA,10+ years,0
10000, ,648xx,MO,1 year,0
4000,its a persona loan i just need it,104xx,NY,1 year,0
22000,help mom be independent,120xx,NY,4 years,0
20000,Child care center opening,992xx,WA,5 years,0
25000,Sam McGarrity,750xx,TX,6 years,0
6500,Personal loan,201xx,VA,5 years,0
2000,personal,104xx,NY,10+ years,0
7000, ,601xx,IL,6 years,0
5000,Student Loan,630xx,MO,1 year,0
20000,Pay Off Bank Loan,605xx,IL,7 years,0
13500, ,368xx,AL,10+ years,0
15000,Refinance Auto Loan,021xx,MA,< 1 year,0
10000,Starting an online Marketing Business,294xx,SC,5 years,0
10000,Credit Card Pay offs,804xx,CO,10+ years,0
10000,Wanting to close out credit cards,803xx,CO,< 1 year,0
20000,Home Debt Consolidation,913xx,CA,1 year,0
25000,paying off debt,871xx,NM,1 year,0
10000,Help me get rid of high interest debt!,100xx,NY,3 years,0
5000,Personal,077xx,NJ,2 years,0
10000, ,913xx,CA,1 year,0
10000,Refinance Citi Loan,305xx,GA,3 years,0
15000,The perils of credit cards and youth,850xx,AZ,3 years,0
5500,Paying off Bills,060xx,CT,1 year,0
3000,Further Education,672xx,KS,4 years,0
25000,Working Capital,855xx,AZ,6 years,0
25000,Business Loan,941xx,CA,3 years,0
2000,Need help paying off debtsq,472xx,IL,< 1 year,0
5000,Looking to do some Landscaping,604xx,IL,10+ years,0
15000,Short Term Business Loan,193xx,PA,< 1 year,0
15000,Small Business Capital for expansion,221xx,VA,1 year,0
22000, ,562xx,MN,2 years,0
12000, ,105xx,NY,1 year,0
10000,One Low Monthly Payment,075xx,NJ,6 years,0
5000,Succesful Business Expanding!,356xx,AL,1 year,0
25000,Paulette's Home,985xx,WA,1 year,0
5000,student loan,319xx,GA,< 1 year,0
20000,debt consolidation,436xx,OH,< 1 year,0
2500,Paying off credit cards,660xx,KS,5 years,0
5000,personal loan,958xx,CA,< 1 year,0
6000,Education,359xx,AL,10+ years,0
16000,private,672xx,KS,5 years,0
18000, ,117xx,NY,3 years,0
7000,Help me move to my new job.,660xx,KS,10+ years,0
2000,Myself and my sons future,760xx,TX,10+ years,0
3000, ,454xx,OH,3 years,0
20000, ,212xx,MD,10+ years,0
17000,Consolidate Credit Card Debt,560xx,MN,2 years,0
15000,Cash to Transition From eBay Business,920xx,CA,1 year,0
10000,Consolidating debt after wedding expense,122xx,NY,< 1 year,0
6500,Starting a Car Detail Business,665xx,KS,3 years,0
20000, ,080xx,NJ,3 years,0
20000,paying off bills,658xx,MO,1 year,0
20000,Consol high interest debt after divorce,916xx,CA,1 year,0
25000,KievStore-InternationalGroceryStore&CafÃÂ©,972xx,OR,3 years,0
2500,Personal,386xx,MS,1 year,0
1500,Student Loan,629xx,IL,1 year,0
25000,Credit Card Interest Rates...Way to high,324xx,FL,10+ years,0
4000,Francisco,780xx,TX,2 years,0
22000,B of A refi,850xx,AZ,10+ years,0
10000,Get out of debt...free?,313xx,GA,5 years,0
11250,Expansion,970xx,OR,10+ years,0
25000,Purchace of  mobile grooming business,282xx,SC,1 year,0
10000,Used Auto and debt consolidation,232xx,VA,4 years,0
5000,no title,853xx,AZ,3 years,0
20000, ,633xx,MO,1 year,0
3000,Firefighters Academy,763xx,TX,1 year,0
20000,Beverly Center coffee shop,902xx,CA,2 years,0
4000,Single mom trying to pay off debt,945xx,CA,2 years,0
20000,neednow,231xx,VA,< 1 year,0
10000,Trying to get away from high interest,658xx,MO,< 1 year,0
2500,Discover Refinance Loan,932xx,CA,< 1 year,0
10000,cleaning up credit cards,156xx,PA,4 years,0
10000,I need to get rid of the SUV,941xx,CA,< 1 year,0
1600,graduate student with a sick dog,857xx,AZ,3 years,0
3000,Personal loan,276xx,AK,3 years,0
3000, ,337xx,FL,4 years,0
6000,yes,553xx,MN,1 year,0
22000,Loan Consolidation,959xx,CA,8 years,0
4000,Tuition/consolidate debt,981xx,WA,3 years,0
2000,debt,767xx,TX,1 year,0
10000,Education,295xx,SC,1 year,0
15000,buying inventory for xmas season,913xx,CA,3 years,0
8000,Trust worthy but bad credit,720xx,AR,10+ years,0
20000,Home Down Payment,117xx,NY,8 years,0
5000,Payoff Credit Cards,945xx,CA,3 years,0
2000,MOVING TO A NEW HOME,945xx,CA,3 years,0
4000,trying to get my family out of debt,947xx,CA,7 years,0
15000,Need a fresh start......,950xx,CA,7 years,0
2500,get current on bills/ chrsitmas,400xx,KY,< 1 year,0
1500,Realiable & trustworthy borrower,300xx,GA,3 years,0
9000, ,104xx,NY,2 years,0
12000,Debt Consolidaton,941xx,CA,1 year,0
20000,"Wedding, Engagement/Wedding Rings",112xx,NY,4 years,0
5000,small,940xx,CA,< 1 year,0
25000,Consolidate and payoff credit card debt,750xx,TX,4 years,0
5000, ,189xx,PA,10+ years,0
8250,Business start up cost,993xx,WA,2 years,0
25000,CarRefi,895xx,NV,3 years,0
5000,eBay Dropship Company proven and piloted,037xx,NH,1 year,0
25000,Consolidating debts,941xx,CA,4 years,0
8500,Let's Talk Chef.com,606xx,IL,3 years,0
5000,Start-Up Business Capital,121xx,NY,< 1 year,0
10000,debt consolidation,970xx,OR,2 years,0
7000, ,601xx,IL,1 year,0
25000,visa and master card,944xx,CA,9 years,0
10000,Trying to get ahead...,327xx,FL,3 years,0
3000, ,921xx,CA,2 years,0
2000,car repair,946xx,CA,10+ years,0
10000,Trying to get ahead...,327xx,FL,6 years,0
12000,Taking Conrtol ,941xx,CA,4 years,0
10000,Please save our learning center!,967xx,HI,5 years,0
2000,Refinance credit card at a better rate,951xx,CA,< 1 year,0
25000,Sinking Ship... Send me a LifeLine  :-)),960xx,CA,10+ years,0
2000,Dept. of Education Compromise,802xx,CO,4 years,0
25000,Looking to finish my basement,981xx,WA,< 1 year,0
5000,used car loan,945xx,CA,1 year,0
25000,Robeks Juice business expansion,921xx,CA,< 1 year,0
1000,New Money Ways,070xx,NJ,< 1 year,0
25000,Credit card debt after job lay off,946xx,CA,< 1 year,0
25000,owner,941xx,CA,1 year,0
4500,car loan,531xx,WI,< 1 year,0
1500, ,611xx,IL,3 years,0
15000,clean up debt exspecting a new baby,145xx,NY,3 years,0
25000,Starting Up,490xx,MI,< 1 year,0
1000,Just a little help to get over a rough s,618xx,IL,10+ years,0
1000,get out of cash advances,432xx,OH,10+ years,0
1000,debit,604xx,IL,< 1 year,0
10000,consolidation,140xx,NY,3 years,0
2000, ,626xx,IL,10+ years,0
3000, ,361xx,AL,2 years,0
6000,tired of getting turned down,937xx,CA,8 years,0
25000,iNeo Business Loan,201xx,VA,4 years,0
20000,Please help me get some breathing room,980xx,WA,< 1 year,0
5000,Temporary Help,712xx,LA,< 1 year,0
2000,Baby Maker,921xx,CA,4 years,0
20000, ,480xx,MI,10+ years,0
19500,Need to Consolidate my Bills,331xx,FL,10+ years,0
2500,Car purchase,750xx,TX,9 years,0
10000,Loeffler Insurance Services,950xx,CA,10+ years,0
5000,5000 requested-very solid credit history,151xx,PA,10+ years,0
10000,personal loan,407xx,KY,8 years,0
18000,Mona's Life ,705xx,LA,< 1 year,0
20000,bill loan,021xx,MA,< 1 year,0
15000,Debt Consolidation,945xx,CA,< 1 year,0
10000, ,171xx,PA,2 years,0
2000,Jay and Jack's money,300xx,GA,6 years,0
25000,buy investment property,953xx,CA,3 years,0
23000,Invest in Mobile Services business,949xx,CA,3 years,0
9000,small_business,013xx,MA,< 1 year,0
25000,consolidate bill,088xx,NJ,3 years,0
5000,housing for texas wesleyan university,761xx,TX,< 1 year,0
5000,Help me become a teacher,338xx,FL,3 years,0
9000,Student Loan,104xx,NY,< 1 year,0
2000,tuition,816xx,CO,< 1 year,0
25000,Must get Back on Track Now,600xx,IL,2 years,0
5000,Start-Up Business Loan,077xx,NJ,3 years,0
10000, ,255xx,WV,3 years,0
10000, ,852xx,AZ,9 years,0
1500,Please help a good person.,103xx,NY,10+ years,0
15000, ,104xx,NY,8 years,0
5000, ,902xx,CA,< 1 year,0
15000, ,021xx,MA,1 year,0
14000, ,853xx,AZ,3 years,0
25000,Keep My Business Open,117xx,NY,1 year,0
25000,KTeams HC Loan,080xx,NJ,10+ years,0
14000,Help me start my first company ,913xx,CA,1 year,0
3000,Moving expenses,201xx,VA,< 1 year,0
1000,Need transportation,366xx,AL,2 years,0
4000,student loan,458xx,OH,2 years,0
8000, ,190xx,PA,6 years,0
7500,Down Payment Assistance,808xx,CO,10+ years,0
16123, ,550xx,MN,1 year,0
2000,Auto Repair Emergency!,365xx,AL,3 years,0
25000,Bridge Loan to August 2009,949xx,CA,10+ years,0
1000,Personal Loan,845xx,UT,1 year,0
20000,Looking to consolidate all unsecured deb,141xx,NY,< 1 year,0
5000,The Liffey Art House Business Loan,920xx,CA,< 1 year,0
15000,Dreaming Big,117xx,NY,5 years,0
9000,Need help to get it started,481xx,MI,1 year,0
1000,Single mother of three beautiful kids.,271xx,VA,< 1 year,0
5000,Debt consolidation,606xx,IL,< 1 year,0
3500, ,490xx,MI,< 1 year,0
25000,Debt consolidation,967xx,HI,4 years,0
5000,Personal Loan,232xx,VA,10+ years,0
25000,First Home Buyer Purchase Loan,992xx,WA,< 1 year,0
15000,Trying to have just one monthly payment.,717xx,AR,2 years,0
5000,Linzey Catch-up,786xx,TX,1 year,0
7500, ,700xx,LA,10+ years,0
2500,finanancial aid,952xx,CA,1 year,0
17000, ,028xx,RI,< 1 year,0
20000, ,615xx,IL,1 year,0
10250, ,300xx,GA,6 years,0
19000, ,321xx,FL,9 years,0
10000,car note and bills,719xx,AR,< 1 year,0
15000, ,142xx,NY,10+ years,0
7500,pay off college debt,785xx,TX,< 1 year,0
4000, ,655xx,MO,< 1 year,0
10000, ,442xx,OH,5 years,0
2500, ,141xx,NY,2 years,0
5500,NEV vehicle,787xx,TX,10+ years,0
15000,Credit Card Combo,080xx,NJ,< 1 year,0
5000,personal loan,331xx,FL,4 years,0
15000, ,081xx,NJ,2 years,0
25000,dental work,754xx,TX,7 years,0
20000, ,300xx,GA,< 1 year,0
8000,A new start,850xx,AZ,< 1 year,0
4000, ,104xx,NY,3 years,0
2500, ,062xx,CT,3 years,0
1000,Consolidation,117xx,NY,< 1 year,0
5000,Personal and Auto loan,179xx,PA,1 year,0
6000,Loan to help w/ medical bills & newborn,159xx,PA,2 years,0
15000, ,152xx,PA,2 years,0
3000,Consolidate 08,841xx,UT,2 years,0
15000,student loand,946xx,CA,10+ years,0
10000, ,941xx,CA,4 years,0
3000,Personal,212xx,MD,< 1 year,0
10000,Student Loan,128xx,NY,< 1 year,0
15000,Seeking to Pay Off High Interest Rate,945xx,CA,< 1 year,0
14000, ,115xx,NY,1 year,0
8000, ,990xx,WA,< 1 year,0
15000,To print a book on a 1970's NBA team,496xx,MI,5 years,0
8000,Less stress,563xx,MN,< 1 year,0
24600,fixdebtratio,454xx,OH,10+ years,0
15000,horrible accident,435xx,OH,< 1 year,0
25000,Investment Property,750xx,TX,4 years,0
10000, ,113xx,NY,3 years,0
2000,School supplies,945xx,CA,< 1 year,0
7500, ,600xx,IL,1 year,0
3000,Consolidate debt,402xx,KY,1 year,0
25000,loan,662xx,KS,1 year,0
10000, ,972xx,OR,4 years,0
5000,Start up a small business,959xx,CA,1 year,0
1000,Money for Expansion of Video Store,614xx,IL,3 years,0
25000,DEBT RELIEF,324xx,FL,3 years,0
4000,Monthly Bills Before Military Start Date,915xx,CA,< 1 year,0
5000,medical,928xx,CA,10+ years,0
5000,Financial Freedom,921xx,CA,1 year,0
5000,LOAN FOR WEDDING AND NEW BABY!!!,980xx,WA,< 1 year,0
25000,Auto Loan,231xx,VA,9 years,0
3000,Paying off Personal Loan,950xx,CA,< 1 year,0
3500,pay off dental and medical catch up,463xx,IL,2 years,0
25000,personal,913xx,CA,< 1 year,0
1400,Student/Credit Card fees,112xx,NY,1 year,0
3000,personal,490xx,MI,4 years,0
5000,"Taxes, roof and three teenager's braces!",478xx,IL,9 years,0
5000,Living expences while I am at school,670xx,KS,< 1 year,0
3000,Personal Loan ,212xx,MD,1 year,0
7000,Need to get out of debt!,501xx,IL,2 years,0
12000, ,077xx,NJ,7 years,0
6000,Working Capital,370xx,KY,8 years,0
3000, ,211xx,MD,< 1 year,0
23000,unsecured,294xx,SC,4 years,0
25000,Life Reorganization,760xx,TX,2 years,0
21000,Pay off high interest credit cards,970xx,OR,7 years,0
5000,single mother,726xx,AR,10+ years,0
3000,personal,199xx,DE,10+ years,0
25000,home improvenent,331xx,FL,10+ years,0
5000,Public Records,237xx,VA,< 1 year,0
25000,Help with consolidating,954xx,CA,10+ years,0
13000, ,816xx,CO,< 1 year,0
10000, ,958xx,CA,10+ years,0
3500, ,234xx,VA,1 year,0
2000,Help me pay of high interest loans.,484xx,MI,< 1 year,0
3000,medical,928xx,CA,10+ years,0
10000,Personal ,857xx,AZ,< 1 year,0
15000, ,301xx,GA,< 1 year,0
8000,School Money,631xx,MO,< 1 year,0
10000,Help on 30% interest from BofA,029xx,RI,5 years,0
2500,bills,945xx,CA,8 years,0
18000,Consolidate Debt,063xx,CT,10+ years,0
1500,Personal Loan,297xx,SC,< 1 year,0
